DEMANDA *;DES_SOLICITACAO;COD_ABRANGENCIA;DES_ABRANGENCIA;COD_ELEMENTO;DES_ELEMENTO;COD_CONSUMIDOR;DES_ENDERECO;NOM_BAIRRO;COD_EQUIPE;DES_EQUIPE;DES_EQUIPE_EXEC;COD_SITUACAO;DES_SITUACAO;DES_ANDAMENTO_EXEC;COD_OCORRENCIA;DES_OCORRENCIA;DAT_INICIO;DAT_VENCIMENTO;DES_USUARIO;DES_RISCO;FLG_CONFERIDA;DES_INSTRUCAO;DES_OBSERVACAO_RETAGUARDA;DAT_ATUALIZACAO;
2156100;1 / ELÉTRICA - CORRETIVA;133;RESIDENCIAL VILA CASSINI;1;GERAL;<Null>;JOÃO RICARDO MENDES, 50;LOTEAMENTO VILLA CASSINI;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;23/05/2024 11:16;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156102;1 / ELÉTRICA - CORRETIVA;104;VL FLORA;1;GERAL;<Null>;ALEXANDRE GIUSEPPE PIVOTTO, S/N;RESIDENCIAL VILA FLORA;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;23/05/2024 11:17;30/05/2024;MSALVADOR;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156112;1 / ELÉTRICA - CORRETIVA;27;VIVENDAS;1;REL-029;<Null>;PROFESSOR CARLOS ROBERTO DE OLIVEIRA, s/n;JARDIM DAS VIVENDAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;23/05/2024 11:21;30/05/2024;MSALVADOR;<Null>;Não-sem flag;"Luz piloto apagada, realizar reparo necessário
Reservatório Elevado local.";<Null>;07/08/2024 08:00;
2156371;1 / ELÉTRICA - CORRETIVA;17;SÃO FRANCISCO;1;GERAL;<Null>;GIANINO KAISER, 990;JARDIM SÃO FRANCISCO;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;24/05/2024 07:50;31/05/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2156373;1 / ELÉTRICA - CORRETIVA;128;VILLAGE DAMHA RIO PRETO III;1;GERAL;<Null>;JOÃO OSVALDO FERREIRA, 155;LOTEAMENTO VILLAGE DAMHA RIO PRETO III;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;39;SUSPENSA;<Null>;<Null>;<Null>;24/05/2024 07:54;31/05/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Luz piloto apagada, realizar reparo necessário;<Null>;07/08/2024 08:00;
2157076;1 / ELÉTRICA - CORRETIVA;103;VILLAGE DAMHA RIO PRETO II;1;GERAL;<Null>;BELVEDERE, ;RESIDENCIAL VILLAGE DAMHA RIO PRETO II;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;39;SUSPENSA;<Null>;<Null>;<Null>;27/05/2024 14:53;03/06/2024;MSALVADOR;<Null>;Não-sem flag;"Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.""

OBS : Em caso de Dúvidas , Ligar 17-99148-3597 / 99107-2669";<Null>;07/08/2024 08:00;
2157094;1 / ELÉTRICA - CORRETIVA;104;VL FLORA;1;GERAL;<Null>;ALEXANDRE GIUSEPPE PIVOTTO, S/N;RESIDENCIAL VILA FLORA;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;27/05/2024 15:04;03/06/2024;MSALVADOR;<Null>;Não-sem flag;"Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.""

OBS : Em caso de Dúvidas , Ligar 17-99148-3597 / 99107-2669";"Foi feito levantamento no local, fizemos  a busca de materiais no almoxarifado junto a outra demanda. Foi feito a instalação dos DPS classe 3, sendo necessário fazer adequação no painel.  Também foi feito a medição do aterramento, instalamos os dps e fizemos as adequações. 

Materiais Vector 
1 DPS (ethernet, DC 4 a 20mA, 100 a 240V 20kA) 
28 terminais ilhos 1,5mm

Materiais Semae 
1DPS rs485 
2 conectores RJ45 
10m cabo 1,5mm amarelo 
1m cabo 1,5mm verde 
1m cabo de rede";07/08/2024 00:00;
2157097;1 / ELÉTRICA - CORRETIVA;22;SÃO DEOCLECIANO;1;GERAL;<Null>;VIRGÍLIO DIAS DE CASTRO, S/N;CONJUNTO HABITACIONAL SÃO DEOCLECIANO;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;27/05/2024 15:06;03/06/2024;MSALVADOR;<Null>;Não-sem flag;"Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.""

OBS : Em caso de Dúvidas , Ligar 17-99148-3597 / 99107-2669";"Foi feito levantamento no local, fizemos a busca de materiais no almoxarifado. Foi necessário fazer adequação no painel com a retirada de vários cabos que  estavam soltos e refizemos várias conexões que  estavam emendas nos terminais.  Foi retirado componentes não utilizados do painel e os cabos.  Foi feito a instalação dos DPS classe no painel de telemetria e feito a medição  do aterramento. Feito as lgações dos DPS. 

Materiais Vector 
1 DPS (ethernet, 100 a 240V 20kA) 
35 terminais ilhos 1,5mm

Materiais Semae
15m cabo 1,5mm amarelo 
1m cabo 1,5mm verde 
1m cabo de rede 
1 DPS Rs485 
2 conectores RJ45";07/08/2024 00:00;
2157101;1 / ELÉTRICA - CORRETIVA;48;SÃO MIGUEL;1;GERAL;<Null>;ARLINDO VALENTE, S/N;PARQUE SÃO MIGUEL;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;39;SUSPENSA;<Null>;<Null>;<Null>;27/05/2024 15:08;03/06/2024;MSALVADOR;<Null>;Não-sem flag;"Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.""

OBS : Em caso de Dúvidas , Ligar 17-99148-3597 / 99107-2669";<Null>;07/08/2024 08:00;
2157319;1 / ELÉTRICA - CORRETIVA;92;LAUREANO TEBAR II / INDIANAPOLIS;1;GERAL;<Null>;TANCREDO NEVES,  - LAURIANO TEBAR II;MINIDISTRITO INDUSTRIAL TANCREDO NEVES;5;Elétrica;56 Vector - Equipe Elétrica - José / Willian;18;EXECUTADA EM FISCALIZAÇÃO;DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;28/05/2024 08:23;04/06/2024;MSALVADOR;<Null>;Não-sem flag;REFLETOR DE LED DENTRO DO REL NÃO ACENDE, REALIZAR MANUTENÇÃO NECESSÁRIA.;"Para maximizar o tempo pegamos os quatro refletores que haviam sobrado no almoxarifado na demanda 2157319 conforme fotos.
perdemos um tempo devido o endereço estar errado fomos para o ptg Cristo Rei pois o era o mais perto do endereço passado mas não era lá, então ligamos para o fiscal Massao e o mesmo nos mandou a localização que não tinha nada  ver com o endereço passado na demanda. chegamos no local substituímos o refletor conforme fotos testamos e o mesmo funcionou normalmente. 
material semae 
1 refletor 250w";07/08/2024 00:00;
2157320;2 / ELÉTRICA - PREVENTIVA;16;ALTO ALEGRE;1;GERAL;<Null>;NOSSA SENHORA DA PAZ, S/N;JARDIM ALTO ALEGRE;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:24;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva elétrica no sistema de abastecimento do Alto Alegre BRs.;<Null>;07/08/2024 08:00;
2157322;2 / ELÉTRICA - PREVENTIVA;16;ALTO ALEGRE;1;PTG-006;<Null>;NOSSA SENHORA DA PAZ, S/N;JARDIM ALTO ALEGRE;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:25;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva - Painel de acionamento -  Local: PTG 06.;<Null>;07/08/2024 08:00;
2157331;2 / ELÉTRICA - PREVENTIVA;2;BOA VISTA;1;PTB-002;<Null>;MARECHAL DEODORO, S/N;BOA VISTA;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:30;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva elétrica no sistema de abastecimento do PTB 002;<Null>;07/08/2024 08:00;
2157336;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:34;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva elétrica na sala de painéis da Água Bruta;<Null>;07/08/2024 08:00;
2157337;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:34;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Equipe de apoio para manutenção preventiva elétrica na sala de painéis da Água Bruta;<Null>;07/08/2024 08:00;
2157338;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:35;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Boa Vista;<Null>;07/08/2024 08:00;
2157340;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:36;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Boa Vistinha / Reversível;<Null>;07/08/2024 08:00;
2157341;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:36;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Diniz / Redentora 2;<Null>;07/08/2024 08:00;
2157343;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:37;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Urano;<Null>;07/08/2024 08:00;
2157344;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:38;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Alto Alegre;<Null>;07/08/2024 08:00;
2157346;2 / ELÉTRICA - PREVENTIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:38;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva no CCM Maceno / Redentora;<Null>;07/08/2024 08:00;
2157361;2 / ELÉTRICA - PREVENTIVA;56;SÃO JUDAS TADEU;1;GERAL;<Null>;CASABLANCA, 277;VILA SÃO JUDAS TADEU;5;Elétrica;<Null>;20;ENVIADA;<Null>;<Null>;<Null>;28/05/2024 08:50;04/06/2024;MIDOLIVEIRA;<Null>;Não-sem flag;Realizar Manutenção preventiva elétrica no sistema de abastecimento São Judas Reservatório;<Null>;07/08/2024 08:00;
